                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.54062,                0.27958,                0.95895,                0.99981,                      1,                  0.995,                0.83022,                0.78507,                0.26338,                   1.06,               0.002179,               0.002179,               0.002179
                     81,                0.52852,                0.26965,                0.94942,                0.99983,                      1,                  0.995,                0.83145,                0.78598,                0.25888,                 1.0609,                0.00208,                0.00208,                0.00208
                     82,                0.53112,                0.27332,                0.95116,                0.99982,                      1,                  0.995,                0.82762,                0.79392,                 0.2595,                 1.0637,               0.001981,               0.001981,               0.001981
                     83,                 0.5227,                0.26642,                0.94727,                0.99982,                      1,                  0.995,                 0.8333,                0.78415,                0.26007,                 1.0512,               0.001882,               0.001882,               0.001882
                     84,                0.50868,                0.26009,                0.93835,                0.99982,                      1,                  0.995,                0.83212,                0.78374,                 0.2565,                 1.0497,               0.001783,               0.001783,               0.001783
                     85,                0.51535,                0.26355,                0.94265,                0.99982,                      1,                  0.995,                0.83072,                0.78053,                0.25723,                  1.056,               0.001684,               0.001684,               0.001684
                     86,                0.51024,                0.25692,                0.93837,                0.99982,                      1,                  0.995,                0.83634,                0.76992,                 0.2533,                 1.0463,               0.001585,               0.001585,               0.001585
                     87,                0.50586,                0.25962,                0.93454,                0.99982,                      1,                  0.995,                0.83493,                 0.7789,                0.25584,                 1.0565,               0.001486,               0.001486,               0.001486
                     88,                0.50523,                0.25891,                0.93443,                0.99982,                      1,                  0.995,                 0.8371,                 0.7821,                0.25448,                 1.0541,               0.001387,               0.001387,               0.001387
                     89,                0.49372,                0.25353,                0.92763,                0.99983,                      1,                  0.995,                0.83324,                 0.7794,                0.25475,                 1.0674,               0.001288,               0.001288,               0.001288
                     90,                0.49331,                0.25101,                0.93167,                0.99987,                      1,                  0.995,                0.83696,                 0.7802,                0.25619,                 1.0618,               0.001189,               0.001189,               0.001189
                     91,                 0.4923,                0.25091,                0.93511,                0.99985,                      1,                  0.995,                0.83516,                0.77352,                0.25651,                 1.0588,                0.00109,                0.00109,                0.00109
                     92,                0.48805,                0.24909,                0.93431,                0.99984,                      1,                  0.995,                0.83368,                0.78928,                0.26185,                 1.0616,               0.000991,               0.000991,               0.000991
                     93,                0.48856,                0.24968,                 0.9323,                0.99984,                      1,                  0.995,                0.83193,                0.78005,                0.25634,                 1.0624,               0.000892,               0.000892,               0.000892
                     94,                0.47745,                0.23966,                  0.927,                0.99983,                      1,                  0.995,                0.83432,                0.77457,                0.25371,                 1.0701,               0.000793,               0.000793,               0.000793
                     95,                0.47438,                0.23986,                0.92326,                0.99983,                      1,                  0.995,                0.83505,                 0.7824,                0.25397,                 1.0712,               0.000694,               0.000694,               0.000694
                     96,                 0.4712,                0.23962,                0.92363,                0.99984,                      1,                  0.995,                0.83739,                0.77872,                0.25319,                 1.0633,               0.000595,               0.000595,               0.000595
                     97,                0.45745,                0.23322,                0.92101,                0.99983,                      1,                  0.995,                0.83463,                   0.78,                 0.2546,                 1.0731,               0.000496,               0.000496,               0.000496
                     98,                 0.4574,                0.23326,                0.91994,                0.99983,                      1,                  0.995,                0.83463,                0.77781,                0.25267,                 1.0713,               0.000397,               0.000397,               0.000397
                     99,                0.45924,                0.23374,                0.92386,                0.99983,                      1,                  0.995,                0.83198,                0.77911,                0.24988,                 1.0712,               0.000298,               0.000298,               0.000298
