                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.0222,                0.45223,                0.90817,                0.97299,                0.97345,                0.97157,                0.70047,                 1.0969,                0.46227,                0.97376,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.0201,                0.46048,                0.91082,                0.97252,                0.97345,                0.97749,                 0.6933,                 1.1199,                0.47535,                0.98161,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.0276,                0.46188,                0.90625,                0.97202,                 0.9646,                0.97605,                0.69743,                  1.064,                0.46325,                0.96897,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.0275,                0.46448,                0.90386,                0.97246,                 0.9646,                0.97475,                0.71728,                 1.0743,                0.47947,                  0.964,              0.0092278,              0.0092278,              0.0092278
                     81,                0.99144,                0.44897,                0.89552,                0.97262,                 0.9646,                0.96531,                0.72411,                 1.0554,                0.47485,                0.96211,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.0159,                0.44786,                0.90426,                0.97155,                 0.9646,                0.96094,                0.68533,                 1.0981,                0.47359,                0.97017,               0.009208,               0.009208,               0.009208
                     83,                 1.0247,                 0.4583,                0.90454,                0.97264,                 0.9646,                 0.9804,                0.71251,                 1.1315,                0.46144,                0.98314,              0.0091981,              0.0091981,              0.0091981
                     84,                0.99811,                0.45364,                 0.8976,                0.97281,                0.97345,                0.97149,                0.71072,                 1.0508,                0.45218,                0.96512,              0.0091882,              0.0091882,              0.0091882
                     85,                0.99956,                0.44407,                0.89816,                0.97292,                0.97345,                0.97291,                0.69329,                  1.098,                0.46015,                0.97244,              0.0091783,              0.0091783,              0.0091783
                     86,                0.98994,                0.44237,                0.90255,                0.97285,                0.97345,                0.98156,                0.70054,                 1.1049,                0.46552,                0.97633,              0.0091684,              0.0091684,              0.0091684
                     87,                0.96172,                0.44179,                0.89024,                0.97286,                0.97345,                0.97589,                0.71726,                 1.0679,                 0.4536,                0.97052,              0.0091585,              0.0091585,              0.0091585
                     88,                0.99867,                0.44276,                0.89253,                0.97298,                0.97345,                0.97504,                0.69532,                 1.1152,                0.47185,                0.97536,              0.0091486,              0.0091486,              0.0091486
                     89,                0.96337,                0.43722,                0.88711,                0.97301,                0.97345,                0.97708,                0.66121,                 1.1148,                0.46795,                0.98727,              0.0091387,              0.0091387,              0.0091387
                     90,                0.98363,                0.44173,                0.89236,                0.96489,                 0.9729,                0.97728,                0.68848,                 1.1253,                0.46521,                0.98286,              0.0091288,              0.0091288,              0.0091288
                     91,                0.97541,                0.43594,                0.89167,                0.97279,                0.97345,                 0.9736,                0.71541,                 1.0601,                0.43818,                0.97974,              0.0091189,              0.0091189,              0.0091189
                     92,                0.94716,                0.43564,                 0.8839,                0.97269,                 0.9646,                0.96798,                0.70085,                 1.1247,                 0.4619,                0.96458,               0.009109,               0.009109,               0.009109
                     93,                0.97278,                0.43771,                0.88776,                0.97287,                0.97345,                0.97232,                0.71407,                 1.0773,                 0.4668,                0.96992,              0.0090991,              0.0090991,              0.0090991
                     94,                0.95703,                0.43551,                0.88216,                0.97344,                0.97292,                0.97344,                0.68892,                  1.128,                0.46818,                 0.9764,              0.0090892,              0.0090892,              0.0090892
                     95,                0.97717,                0.44029,                0.89451,                0.97237,                0.97345,                0.96982,                 0.6549,                 1.1274,                0.62689,                 0.9832,              0.0090793,              0.0090793,              0.0090793
                     96,                0.95999,                 0.4334,                0.89415,                0.97272,                 0.9646,                0.97456,                0.68819,                 1.1121,                0.48622,                0.96929,              0.0090694,              0.0090694,              0.0090694
                     97,                0.94983,                0.42344,                0.89179,                0.97263,                 0.9646,                0.97291,                0.70529,                 1.1008,                 0.4571,                0.96528,              0.0090595,              0.0090595,              0.0090595
                     98,                0.94007,                0.41994,                0.88652,                0.97311,                0.97345,                0.97951,                0.70416,                 1.1081,                  0.456,                0.97231,              0.0090496,              0.0090496,              0.0090496
                     99,                0.94049,                0.43198,                0.88298,                0.96458,                0.96399,                0.97083,                0.70068,                 1.0918,                0.46153,                0.96825,              0.0090397,              0.0090397,              0.0090397
                    100,                 0.9316,                0.43255,                0.87884,                0.97245,                 0.9646,                0.96966,                0.69173,                 1.1227,                0.45427,                0.97778,              0.0090298,              0.0090298,              0.0090298
                    101,                0.94871,                0.42313,                0.87691,                 0.9726,                 0.9646,                0.96737,                0.69032,                 1.0985,                0.44879,                0.97212,              0.0090199,              0.0090199,              0.0090199
                    102,                0.94189,                0.41933,                0.88769,                 0.9724,                 0.9646,                0.97572,                0.69532,                 1.1438,                0.47275,                0.98962,                0.00901,                0.00901,                0.00901
                    103,                0.94598,                 0.4267,                0.89067,                0.97344,                0.97291,                0.97592,                0.70149,                 1.1152,                0.46024,                0.98372,              0.0090001,              0.0090001,              0.0090001
                    104,                0.92996,                0.42305,                0.88202,                0.97267,                 0.9646,                0.97089,                0.69175,                 1.1443,                0.47443,                0.98615,              0.0089902,              0.0089902,              0.0089902
                    105,                0.92671,                0.41344,                0.88445,                0.97344,                0.97286,                 0.9691,                0.70152,                 1.0904,                0.45234,                0.96843,              0.0089803,              0.0089803,              0.0089803
