                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.60431,                0.31368,                0.79711,                0.99244,                      1,                0.99423,                0.76038,                0.96806,                0.39676,                0.82282,              0.0002972,              0.0002972,              0.0002972
                     89,                0.59682,                0.31038,                0.79625,                0.99182,                      1,                0.99451,                0.75028,                0.99786,                0.40209,                0.82807,              0.0002774,              0.0002774,              0.0002774
                     90,                0.59598,                0.31051,                0.79398,                0.99246,                      1,                0.99437,                0.74733,                0.99675,                0.38549,                0.82679,              0.0002576,              0.0002576,              0.0002576
                     91,                0.59725,                0.31106,                0.80248,                0.99217,                      1,                0.99395,                0.74318,                0.98122,                0.39396,                0.82618,              0.0002378,              0.0002378,              0.0002378
                     92,                0.56316,                0.30421,                0.79643,                0.99242,                      1,                0.99395,                0.75423,                0.99545,                0.40748,                0.82615,               0.000218,               0.000218,               0.000218
                     93,                 0.5526,                0.30465,                 0.7928,                0.99228,                      1,                0.99416,                0.75198,                0.98219,                 0.4002,                0.82455,              0.0001982,              0.0001982,              0.0001982
                     94,                0.54807,                0.29962,                0.79178,                0.99118,                      1,                0.99409,                0.76121,                0.97807,                0.38749,                0.82495,              0.0001784,              0.0001784,              0.0001784
                     95,                0.53555,                0.29613,                0.79042,                 0.9913,                      1,                0.99388,                 0.7595,                0.96204,                0.39461,                0.82303,              0.0001586,              0.0001586,              0.0001586
                     96,                0.53353,                0.29274,                0.79116,                0.99152,                      1,                0.99346,                0.75679,                0.95772,                0.39195,                0.82346,              0.0001388,              0.0001388,              0.0001388
                     97,                0.51323,                0.28436,                0.78632,                 0.9924,                      1,                0.99332,                0.75345,                0.98272,                0.39619,                0.82457,               0.000119,               0.000119,               0.000119
                     98,                0.49803,                0.27993,                0.78911,                0.99136,                      1,                0.99318,                 0.7623,                0.97831,                0.39554,                0.82385,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.50651,                0.28217,                0.78486,                0.99235,                      1,                0.99304,                  0.765,                0.96063,                 0.3886,                0.82319,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.5004,                0.27758,                0.79064,                0.99243,                      1,                0.99346,                0.75981,                0.96594,                0.38784,                0.82407,               5.96e-05,               5.96e-05,               5.96e-05
